count	title	artist	genre	R0	r	infper	i0	beta	gamma	N	Extracted.s0	Calculated.s0	Z	SIR.rel.fit.goodness	spline.rel.fit.goodness
5261	The Captain	Biffy Clyro	Rock	0.759521113429316	-0.0157341993441892	15.2838337248787	2.13271917172076e-12	0.0496944109116408	0.06542861025583	37024564541311.8	37024564541311.8	-11846718819798089728	-4.44089209850063e-16	1.04420906449211	1.04581408188039
5258	25 To Life (Album Version (Explicit))	Eminem	Pop	34.26873324791	0.890966645482994	37.3400434422268	0.000324826803130245	0.917747546301902	0.0267809008189082	123.611374328141	123.611374328141	5258.00000000001	0.999999999999999	3.1421516714586	0.924677828620744
5255	Just Can’t Get Enough	The Black Eyed Peas	Pop	35.8776148982298	1.69254473949116	20.6066132755316	4.50379638409792e-09	1.7410728496968	0.0485281102056399	284.834175437595	284.834175437595	5255	1	3.79536474032205	2.01595551542483
5251	Baby [You\'ve Got What It Takes] [with Sharon Jones \& the Dap-Kings]	Michael Bublé	Soul/R\&B/Funk	1.0725119947701	0.0579719844401175	1.25081098172513	0.00180601807535807	0.857453292655683	0.799481308215566	31658.1764729445	31658.1764729445	39749.9771395159	0.132100704902794	3.39851718600316	0.858215351395518
5251	Cold Wind Blows (Album Version (Explicit))	Eminem	Rap/Hip Hop	84446.937251851	647.177086920529	130.483509009367	6.21767772486666e-309	647.184750724236	0.00766380370662939	39.3584211072849	39.3584211072849	5251	1	1.64404751340142	1.16112535793228
5250	In For The Kill	La Roux	Rap/Hip Hop	290.20727780535	3.21289403076402	90.0145709868238	9.5014914101748e-09	3.22400334327906	0.0111093125150414	52.7356754161547	52.7356754161547	5250	1	1.30034208966848	1.59136607959277
5248	Going Through Changes (Album Version (Explicit))	Eminem	Rock	2.24022703800171	2.85642358853055	0.43418876772395	1.25371570676685e-15	5.15956930379646	2.30314571526591	9808.78101850609	9808.78101850609	6162.62476686436	0.851585192760368	3.06784708971742	0.973581094367534
5245	Mamma Mia	Abba	Rap/Hip Hop	5.65703808699608	0.331086922332703	14.0659076902962	0.00552692627881605	0.402180805643901	0.0710938833111979	405.283040967486	405.283040967486	5263.7599517477	0.996436016854934	3.23252782921458	1.13552736705449
5241	Good Times (feat. Jodie Connor)	Roll Deep	Rap/Hip Hop	176.403904649949	1.99949125102854	87.7242671403142	1.15862275525299e-05	2.01089060530756	0.0113993542790219	53.0234536616626	53.0234536616626	5241	1	1.24928612111815	0.876266075482386
5239	Whatever It Takes [with Ron Sexsmith]	Michael Bublé	Rap/Hip Hop	37.066424535978	0.182401833920701	197.730602597219	0.229752480830565	0.187459220015037	0.00505738609433674	19.7010339983174	19.7010339983174	5239	1	2.72572480288115	0.902193249560038
5233	The Garden	Take That	Pop	32004.8439890462	569.310334586307	56.2151115916453	8.82239122285468e-244	569.328123397388	0.0177888110809802	89.6122651257538	89.6122651257538	5233	1	0.965660562396749	0.941278430835971
5232	Mr Bojangles	Robbie Williams	Dance	24.0251066233019	4.27520046069873	5.38573730868721	7.1836668603754e-59	4.46087605954144	0.185675598842706	901.451862571003	901.451862571003	5232.00000019262	0.999999999963185	1.07957063424813	1.51913695506164
5231	Stardust [with Naturally 7]	Michael Bublé	Rap/Hip Hop	183.775930806891	2.09764770858546	87.1337594291013	6.84274965620244e-06	2.10912431657933	0.0114766079938703	53.3552988122449	53.3552988122449	5231	1	1.25400721222023	0.882912699344818
5229	My Mom (Album Version (Explicit))	Eminem	Rock	34669.8212188476	772.828427324597	44.8596609455287	5.56553046247089e-309	772.850719066864	0.022291742267385	110.962924644826	110.962924644826	5229	1	0.969072637497313	1.57034024279117
5228	Bagpipes From Baghdad (Album Version (Explicit))	Eminem	Soul/R\&B/Funk	108554.266220087	736.619954565028	147.366719496742	2.19706551123869e-218	736.626740357665	0.00678579263632253	35.9559064475754	35.9559064475754	5228	1	2.03014735872727	1.58205632563274
5228	A Dustland Fairytale	The Killers	Rock	34810.8867891477	772.832242294452	45.0419701509878	5.57585449534958e-309	772.854443809987	0.0222015155342415	110.550484379358	110.550484379358	5228	1	0.877986679831191	0.833810755102677
5225	On Fire (Album Version (Explicit))	Eminem	Rock	1.57459296240166e-06	-0.014641028859377	68.3011033590427	2.20906472286258e-09	2.30536973044843e-08	0.0146410519130743	33104307121.7447	33104307121.7447	Inf	0	0.847388556715795	0.93536306993694
5223	Radioactive (Remix featuring the West Angeles Mass Choir)	Kings Of Leon	Indie/Alternative	1.0036314329371	0.579619729688773	0.00626519897632532	4.77603455558313e-11	160.191469852687	159.611850122999	100148081.072202	100148081.072202	722621.714507448	0.00722784811906751	1.17782086122814	2.4014475214222
5218	You\'re Never Over	Eminem	Pop	389.124587145552	7.83300937911136	49.5498688129471	0.000443333322525011	7.85319106725619	0.0201816881448272	93.4078760247392	93.4078760247392	5218	1	1.06311275131637	1.14644340269119
5217	Back Down South	Kings Of Leon	Indie/Alternative	816.437846000803	9.32265668607426	87.4683980607014	0.00211421838098238	9.33408938659434	0.0114327005200898	52.6167358925948	52.6167358925948	5217	1	1.2816758600413	3.31199596457393
5217	Losing Touch	The Killers	Rap/Hip Hop	174.481238290506	1.98298929011718	87.4847076356397	1.26046133125945e-05	1.99441985926493	0.0114305691477515	52.840320082966	52.840320082966	5217	1	1.24398252693704	0.923653184162148
5216	Shine A Light (Radio Edit)	McFly	Pop	294.472819382929	5.01224197367466	58.5512074086425	0.00715805607763733	5.02932104077264	0.0170790670979809	77.3892960714176	77.3892960714176	5216	1	1.83964266203914	4.1565856658818
5215	The Winner Takes It All	Abba	Pop	303.560189535843	5.03018720994376	60.1488924582642	0.00756080193631785	5.04681261997428	0.0166254100305151	75.2709547467532	75.2709547467532	5215	1	1.85780973416977	1.97524838174865
5211	Back To Black	Amy Winehouse	Indie/Alternative	1.27793385929138	0.840445851767008	0.330698115419376	1.00998091275564e-06	3.8643518051827	3.02390595341569	31110.5408214441	31110.5408214441	12998.508002598	0.400892163851303	1.53683938261461	1.15565104902411
5211	Insane (Album Version (Explicit))	Eminem	Rock	34712.1463953106	772.828504453394	44.9144230515425	5.57216228349682e-309	772.850769016358	0.0222645629634924	110.442844024168	110.442844024168	5211	1	0.970373387916611	1.5996700812074
5205	Seduction (Album Version (Explicit))	Eminem	Indie/Alternative	1.02773907610983	0.584824972656502	0.047431415221248	2.40271687344917e-09	21.6678981918597	21.0830732192032	1782121.34382663	1782121.34382663	97306.6415040813	0.053490696210923	1.17452618778381	0.941537193671444
5200	We Weren\'t Born To Follow	Bon Jovi	Pop	11.2888921849782	3.07012181564993	3.35129770178194	2.02353670458155e-44	3.36851368918246	0.298391873532538	1439.05028671646	1439.05028671646	5200.06506786279	0.999987487106037	0.927531889397474	1.29215560795834
5200	Stan	Eminem	Pop	8.80316748849493	0.248032541958511	31.4602568956463	0.443702715649254	0.279818677822468	0.0317861358639569	160.419323360756	160.419323360756	5200.78248648221	0.999849544470617	1.32241172397587	1.68148624989437
5196	Almost Famous (Album Version (Explicit))	Eminem	Rock	34627.7927789151	772.828680530799	44.8052636389381	5.56426217033636e-309	772.85099933709	0.0223188062915659	110.39072280019	110.39072280019	5196	1	0.967456852229611	1.14606144862397
5196	W.T.P. (Album Version (Explicit))	Eminem	Rock	34663.62129239	772.816871519638	44.8523092207222	5.56437351607476e-309	772.839166915737	0.0222953960983126	110.287515595464	110.287515595464	5196	1	0.965261066626906	0.932220611650955
5191	Cooler Than Me	Various Artists	Rock	34722.7402227077	772.821932362248	44.9285129843241	5.56426855026023e-309	772.844189942871	0.0222575806225527	109.998955842429	109.998955842429	5191	1	0.966661256015224	2.77894097439154
5190	Intro	Ministry Of Sound	Pop	220411.999638825	665.103240835651	331.393663579048	4.43677270304034e-107	665.106258394856	0.00301755920496491	17.6164772702473	17.6164772702473	5190	1	1.84241644885942	2.35176853341158
5186	So Bad (Album Version (Explicit))	Eminem	Rap/Hip Hop	56714.3360016681	435.749066909922	130.151365334746	2.77892799216626e-208	435.756750271502	0.00768336158001894	39.0271742459091	39.0271742459091	5186	1	1.59806541723443	1.15268435096294
5185	The Face	Kings Of Leon	Rock	34745.4110717436	772.791425268682	44.9596229146353	5.56713374149569e-309	772.813667448113	0.0222421794306126	109.789414721012	109.789414721012	5185	1	0.958696422787198	3.26091965859964
5184	Rude Boy (Explicit Version)	Rihanna	Rock	88.0945764539337	13.1963504414531	6.59989872505561	3.44122338378302e-82	13.3478679179568	0.151517476503637	740.021733917449	740.021733917449	5184	1	1.00748013180321	1.57220603782297
5184	Mary	Kings Of Leon	Rock	349.238293799566	7.80471598916237	44.6189578561385	0.000458735681443008	7.8271279872916	0.0224119981292307	104.567086607078	104.567086607078	5184	1	1.58757370852459	3.26116118139874
5183	The World We Live In	The Killers	Rock	0.999589262952872	-0.00414375823461199	0.0991218656768468	1.63915240412524e-06	10.084447625428	10.0885913836626	33747250.8753702	33747250.8753702	-38016542131370168	-1.36335387423969e-13	1.21770674895181	0.814421751274114
5182	Hands Open	Snow Patrol	Rock	34709.3534068372	772.826558397177	44.9109221593283	5.62481574119729e-309	772.848824695705	0.0222662985287264	109.844880418112	109.844880418112	5182	1	0.967488021412673	1.71369653852049
5181	Only Girl (In the World)	Various Artists	Pop	4.73718595872906	2.88099856882628	1.29718424686743	5.57611592722019e-13	3.65189908077352	0.770900511947242	3837.3291827223	3837.3291827223	5228.85203332608	0.990848462909049	1.23852963356667	2.00827566331193
5176	United States Of Eurasia [+Collateral Damage]	Muse	Pop	4270.38720114223	18.0021306719233	237.160105042505	0.710426476384834	18.0063472327139	0.00421656079052915	21.447701960204	21.447701960204	5176	1	2.68212014360826	1.71721157701755
5175	Untitled (Album Version (Explicit))	Eminem	Indie/Alternative	6964.45399733236	77.3467623692588	90.029030098097	5.80955113407436e-26	77.3578698975628	0.0111075283040413	53.9348192999376	53.9348192999376	5175	1	1.31250746492797	1.13156632570927
5175	Heartbreaker (Edited Super Clean UK Remix)	Cheryl	Rock	113.178261061196	12.1764156021507	9.21274903275989	1.42631926073266e-80	12.2849608362001	0.108545234049475	505.879272972021	505.879272972021	5175	1	8.82529867204103	2.02211217192501
5166	Heaven	Cheryl	Pop	397.222501319179	6.70389820592336	59.1032991773486	0.00179304812237401	6.72081773518685	0.0169195292634908	76.6873017249276	76.6873017249276	5166	1	1.96709213911472	2.06676961167567
5160	The Golden Floor	Snow Patrol	Dance	678.55465304043	5.39020733154492	125.701037337692	1.19203565176453e-261	5.39816271537611	0.00795538383118931	41.1383017528702	41.1383017528702	5160	1	1.86034675614162	0.946416593639406
5159	The Immortals	Kings Of Leon	Indie/Alternative	826.309989904134	9.43187525681317	87.5022164132171	0.00198566677396347	9.44330353875837	0.0114282819451983	51.9896367283973	51.9896367283973	5159	1	1.29505375259691	3.25529592658248
5156	Shut Your Eyes	Snow Patrol	Pop	32.0029615031792	1.50343090729173	20.6214740915682	9.43220433130691e-09	1.55192404583069	0.0484931385389605	279.114869811334	279.114869811334	5156.00000000007	0.999999999999987	3.43341689757531	1.09326375641853
5151	Somethin\' Stupid	Robbie Williams	Rap/Hip Hop	83770.8757953685	647.263901889061	129.42151655744	5.65844810163769e-309	647.271628579541	0.00772669048083807	38.909982574646	38.909982574646	5151	1	1.64795886118673	1.54425272842247
5150	I Need You Tonight (feat. Ed Drewett)	Professor Green feat. Ed. Drewett	Pop	14.811713634152	3.99996276218817	3.45296055371184	1.57251806029634e-59	4.28956931414401	0.289606551955836	1371.29677469666	1371.29677469666	5150.00190179747	0.999999630719074	1.1289192420066	0.650122599726779
5150	Beach Side	Kings Of Leon	Rap/Hip Hop	84049.5556469301	647.261675632887	129.852513768482	5.66740253465334e-309	647.269376677487	0.00770104460036046	38.8856880909141	38.8856880909141	5150	1	1.6344223918864	3.24126700641762
5144	Pickup Truck	Kings Of Leon	Pop	16458.2254250688	71.3946978480376	230.510470960991	0.696904905541613	71.3990360457595	0.00433819772191272	21.8865664715386	21.8865664715386	5144	1	2.60829991697628	3.2515050907315
